File_Name,takeup
4864_20110126,0
4866_20110126,0
4870_20110131,0
4877_20110201,0
4894_20110131,0
4896_20110131,0
4933_20110128,0
4942_20110127,0
4968_20110127,1
4971_20110127,0
4982_20110127,0
5014_20110201,0
5015_20110201,0
5024_20110202,0
5039_20110202,0
5042_20110202,0
5044_20110201,0
5045_20110201,0
5046_20110201,0
5048_20110201,0
5052_20110201,0
5056_20110201,1
5072_20110201,0
5073_20110202,1
5088_20110203,0
5090_20110202,0
5094_20110202,0
5095_20110201,0
5096_20110201,1
5107_20110203,1
5111_20110210,1
5123_20110227,0
5133_20110127,1
5134_20110127,0
5136_20110127,1
515_20101215,0
5166_20110217,0
5168_20110217,0
5169_20110217,0
5173_20110222,0
5176_20110303,0
5179_20110303,0
5181_20110303,0
5212_20110131,1
5219_20110131,0
5233_20110131,1
5244_20110201,0
5249_20110131,0
5250_20110131,0
5256_20110201,0
5257_20110201,1
5275_20110131,1
5276_20110202,1
5281_20110131,0
5296_20110131,0
529_20101206,0
5306_20110131,1
5311_20110131,0
5321_20110131,0
5322_20110131,0
5334_20110131,0
5351_20110131,1
5353_20110131,0
5360_20110202,0
5392_20110201,0
5404_20110201,0
5414_20110201,0
5415_20110201,0
5424_20110131,0
5440_20110131,1
5456_20110203,0
5467_20110131,1
5486_20110131,0
5540_20110201,0
5542_20110201,0
5584_20110201,0
5618_20110202,0
5621_20110202,0
5647_20110209,0
5676_20110201,0
5681_20110201,0
5682_20110202,0
5737_20110204,1
5739_20110202,0
5743_20110202,0
5760_20110202,1
5764_20110204,0
5796_20110203,0
5799_20110103,1
5805_20110203,0
5814_20110203,0
5818_20110203,0
5829_20110203,0
5830_20110203,0
5831_20110203,0
5833_20110203,0
5838_20110208,0
5841_20110207,0
5844_20110208,0
5849_20110208,1
5857_20110208,0
5860_20110204,1
5866_20110204,1
5867_20110204,0
586_20101206,0
5870_20110204,1
5873_20110204,0
5876_20110204,0
5878_20110204,0
5882_20110204,0
5889_20110204,0
5921_20110202,0
5923_20110202,1
5924_20110202,0
5927_20110202,0
5948_20110203,1
5949_20110103,0
5953_20110202,0
5957_20110202,1
5965_20110203,0
5966_20110202,0
5968_20110202,0
5977_20110204,1
6008_20110203,0
6014_20110204,0
6021_20110203,0
6037_20110204,0
6041_20110203,0
6050_20110203,0
6054_20110203,0
6063_20110209,0
6068_20110203,0
6088_20110209,0
6089_20110207,0
6095_20110204,0
6109_20110210,0
6110_20110303,0
6112_20110204,0
6115_20110204,0
6116_20110204,0
6123_20110210,0
6124_20110303,0
6126_20110204,0
6136_20110216,0
6138_20110209,1
6141_20110204,0
6162_20110204,0
6178_20110211,0
617_20101206,0
6185_20110209,0
6193_20110208,0
6196_20110208,0
6200_20110207,0
6204_20110204,0
6209_20110204,1
6211_20110204,0
6214_20110210,0
6229_20110204,0
6238_20110203,0
6239_20110208,0
6243_20110103,0
6251_20110203,1
6257_20110203,0
6260_20110203,0
6279_20110204,1
6283_20110204,0
6306_20110203,0
6311_20110203,0
6326_20110203,0
6336_20110203,0
6344_20110204,0
6345_20110204,0
6376_20110208,0
6377_20110208,0
6378_20110208,0
6386_20110209,0
6389_20110210,1
6392_20110207,1
6398_20110207,0
6399_20110214,0
63_20101203,0
6402_20110217,0
6419_20110209,0
6422_20110208,0
6427_20110207,0
6430_20110208,0
6440_20110207,1
6441_20110207,0
6446_20110207,0
6449_20110207,0
6456_20110208,0
6462_20110209,0
6463_20110209,0
6464_20110209,0
6465_20110218,0
6468_20110209,0
6484_20110210,0
6506_20110208,0
6508_20110216,0
6509_20110216,1
6518_20110209,1
6528_20110208,0
6534_20110215,0
6540_20110218,0
6543_20110208,0
6549_20110208,0
6555_20110209,0
6558_20110208,0
6563_20110209,0
6566_20110207,0
6568_20110207,0
6573_20110207,1
6574_20110207,0
6576_20110207,0
6590_20110207,0
6596_20110208,0
6608_20110207,1
6614_20110207,0
6617_20110207,0
6620_20110208,0
6621_20110208,0
6623_20110209,0
6625_20110208,0
6629_20110207,0
662_20101213,1
6636_20110207,0
6647_20110223,0
6653_20110223,0
6669_20110207,1
666_20101206,1
6672_20110301,0
6675_20110208,1
6677_20110208,1
667_20101206,1
6705_20110302,0
6713_20110216,1
6714_20110216,0
6715_20110217,0
6726_20110211,0
6727_20110210,0
6733_20110210,0
6742_20110302,0
6744_20110211,0
6759_20110209,0
6760_20110209,0
6761_20110203,0
6762_20110209,0
6763_20110209,0
6772_20110208,0
